Topic	Subtopic	Description	Educational_Level	Depth_Level	Domain	Difficulty	Duration_Hours	Is_Core	Pedagogical_Order	MCAT_Relevant	Prerequisites	Learning_Objectives	Assessment_Methods	Source_Books	Extraction_Strategy
Momentum	Momentum	The Dual Nature of Light m54552 The Dual Nature of Light d5593b8e-c6c6-4224-b682-2b2d56b5b7be Section Learning Objectives By the end of this section, you will be able to do the following: Describe the	high_school	1	physics	2	4	Core	17	No	Forces; Newton's Laws	Learning Objectives By the end of this section, you will be able to do the following: Describe the Compton effect Calculate the momentum of a photon Explain how photon momentum is used in solar sails Explain the particlewave duality of light Teacher Support The learning objectives in this section will help your students master the following standards:(3) Scientific processes. The student uses c...	Problem solving; Conceptual understanding; Application	Physics	content_processing
Motion Equations	Motion Equations	Motion Equations for Constant Acceleration in One Dimension m42099 Motion Equations for Constant Acceleration in One Dimension ea2bb23c-4fce-4e9d-a46b-3754125da988 Learning Objectives By the end of th	undergraduate	1	general_physics	3	4	Core	18	No	Algebra	Learning Objectives By the end of this section, you will be able to: Calculate displacement of an object that is not accelerating, given initial position and velocity. Calculate final velocity of an accelerating object, given initial velocity, acceleration, and time. Calculate displacement and final position of an accelerating object,...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Independence of motion to solve projectile motion problems	Independence of motion to solve projectile motion problems	Projectile Motion m42042 Projectile Motion 69062f44-56d2-4111-88ff-f599727c4ed1 Learning Objectives By the end of this section, you will be able to: Identify and explain the properties of a projectile	undergraduate	1	general_physics	3	4	Core	19	No		Learning Objectives By the end of this section, you will be able to: Identify and explain the properties of a projectile, such as acceleration due to gravity, range, maximum height, and trajectory. Determine the location and velocity of a projectile at different points in its trajectory. Apply the principle of independence of motion to solve projectile motion problems. Projectile motion is the motion of an object thr...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
The forces that cause objects and systems to move	The forces that cause objects and systems to move	Development of Force Concept m42069 Development of Force Concept de43ae15-d1fa-4265-98f6-9820ff31a270 Learning Objectives By the end of this section, you will be able to: Understand the definition of 	undergraduate	1	general_physics	4	4	Core	20	No		Learning Objectives By the end of this section, you will be able to: Understand the definition of force. Dynamics is the study of the forces that cause objects and systems to move. To understand this, we need a working definition of force. Our intuitive definition of force—that is, a push or a pull—is a good place to start. We know that a push or pull has both magnitude and direction (therefore,...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Motion: Inertia Newton’s First Law of Motion: Inertia Learning Objectives By the end of this section	Motion: Inertia Newton’s First Law of Motion: Inertia Learning Objectives By the end of this section	Newton’s First Law of Motion: Inertia m42130 Newton’s First Law of Motion: Inertia e4084c4d-df8b-43d3-af14-c2ea68d59f92 Learning Objectives By the end of this section, you will be able to: Define mass	undergraduate	1	general_physics	3	4	Core	21	No		Learning Objectives By the end of this section, you will be able to: Define mass and inertia. Understand Newton's first law of motion. Experience suggests that an object at rest will remain at rest if left alone, and that an object in motion tends to slow down and stop unless some effort is made to keep it moving. What Newton’s first law of motion states, however, is the follow...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Motion: Concept of a System Newton’s Second Law of Motion: Concept of a System Learning Objectives By the end of this section	Motion: Concept of a System Newton’s Second Law of Motion: Concept of a System Learning Objectives By the end of this section	Newton’s Second Law of Motion: Concept of a System m42073 Newton’s Second Law of Motion: Concept of a System 8afa5bc0-8fb5-4d10-bddc-e626afef65ee Learning Objectives By the end of this section, you wi	undergraduate	1	general_physics	3	4	Core	22	No		Learning Objectives By the end of this section, you will be able to: Define net force, external force, and system. Understand Newton’s second law of motion. Apply Newton’s second law to determine the weight of an object. Newton’s second law of motion is closely related to Newton’s first law of motion. It mathematically states the cause and effect relat...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Motion: Symmetry in Forces Newton’s Third Law of Motion: Symmetry in Forces Learning Objectives By the end of this section	Motion: Symmetry in Forces Newton’s Third Law of Motion: Symmetry in Forces Learning Objectives By the end of this section	Newton’s Third Law of Motion: Symmetry in Forces m42074 Newton’s Third Law of Motion: Symmetry in Forces d5510a8b-a06e-4634-a63f-2ec97b293af6 Learning Objectives By the end of this section, you will b	undergraduate	1	general_physics	3	4	Core	23	No		Learning Objectives By the end of this section, you will be able to: Understand Newton's third law of motion. Apply Newton's third law to define systems and solve problems of motion. Baseball relief pitcher Mariano Rivera was so highly regarded that during his retirement year, opposing teams conducted farewell presentations when he played at their stadiums...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Gravitation Newton’s Universal Law of Gravitation Learning Objectives By the end of this section	Gravitation Newton’s Universal Law of Gravitation Learning Objectives By the end of this section	Newton’s Universal Law of Gravitation m42143 Newton’s Universal Law of Gravitation df3cd28b-1aba-4abc-84d7-54224fbd2a78 Learning Objectives By the end of this section, you will be able to: Explain Ear	undergraduate	1	general_physics	3	4	Core	24	No		Learning Objectives By the end of this section, you will be able to: Explain Earth’s gravitational force. Describe the gravitational effect of the Moon on Earth. Discuss weightlessness in space. Examine the Cavendish experiment What do aching feet, a falling apple, and the orbit of the Moon have in common? Each is caused by the gravitational force. Our feet are strained by supp...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Conservation of energy can be applied by treating the conservative forces in terms of their potential energies and any nonconservative forces in terms of the work they do	Conservation of energy can be applied by treating the conservative forces in terms of their potential energies and any nonconservative forces in terms of the work they do	Nonconservative Forces m42150 Nonconservative Forces 092ffa28-a19e-4bd7-939a-1dfef1ee2a1a Learning Objectives By the end of this section, you will be able to: Define nonconservative forces and explain	undergraduate	1	general_physics	3	4	Core	25	No	Forces; Newton's Laws	Learning Objectives By the end of this section, you will be able to: Define nonconservative forces and explain how they affect mechanical energy. Show how the principle of conservation of energy can be applied by treating the conservative forces in terms of their potential energies and any nonconservative forces in terms of the work they do. Nonconservative Forces and Friction Forces are either conservative...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
The conservation of energy	The conservation of energy	Conservation of Energy m42151 Conservation of Energy c5adb012-fbab-41a7-b5b2-4644984097fc Learning Objectives By the end of this section, you will be able to: Explain the law of the conservation of en	undergraduate	1	general_physics	3	4	Core	26	No	Forces; Newton's Laws	Learning Objectives By the end of this section, you will be able to: Explain the law of the conservation of energy. Describe some of the many forms of energy. Define efficiency of an energy conversion process as the fraction left as useful energy or work, rather than being transformed, for example, into thermal energy. Law of Conservation of EnergyEnergy, as we have noted, is conserved, making it one of the...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Momentum and the relationship between momentum and force (both vector quantities) applied over a time interval	Momentum and the relationship between momentum and force (both vector quantities) applied over a time interval	Connection for AP® courses m55108 Connection for AP® courses ba6901a3-5398-42a9-83d1-d2ae8bc001fa "Each rugby player has great momentum, which will affect the outcome of their collisions with each oth	undergraduate	1	general_physics	3	4	Core	27	No	Forces; Newton's Laws	Master core concepts; Apply knowledge effectively	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Motion in terms of momentum	Motion in terms of momentum	Linear Momentum and Force m42156 Linear Momentum and Force 93d34b53-54fb-4056-b8a5-ce22ec22321f Learning Objectives By the end of this section, you will be able to: Define linear momentum.	undergraduate	1	general_physics	3	4	Core	28	No	Forces; Newton's Laws	Learning Objectives By the end of this section, you will be able to: Define linear momentum. Explain the relationship between momentum and force. State Newton’s second law of motion in terms of momentum. Calculate momentum given mass and velocity. Linear Momentum The scientific definition of linear momentum is consistent with most people’s intuitive understanding of momentum: a large, fastmoving obje...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Conservation of momentum	Conservation of momentum	Conservation of Momentum m42162 Conservation of Momentum 007123e0-9db4-48bf-bd90-8976ff53a920 Learning Objectives By the end of this section, you will be able to: Describe the principle of conservatio	undergraduate	1	general_physics	3	4	Core	29	Yes	Forces; Newton's Laws	Learning Objectives By the end of this section, you will be able to: Describe the principle of conservation of momentum. Derive an expression for the conservation of momentum. Explain conservation of momentum with examples. Explain the principle of conservation of momentum as it relates to atomic and subatomic particles. Momentum is an important quantity because it is conserved. Yet it was not conserved...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Conservation of Energy	Conservation of Energy	Rotational Kinetic Energy: Work and Energy Revisited m42180 Rotational Kinetic Energy: Work and Energy Revisited b328b5a2-79ea-4faa-9674-8d62df2f288e Learning Objectives By the end of this section, yo	undergraduate	1	general_physics	3	4	Core	30	Yes	Newton's Laws; Forces; Algebra	Learning Objectives By the end of this section, you will be able to: Derive the equation for rotational work. Calculate rotational kinetic energy. Demonstrate the Law of Conservation of Energy. In this module, we will learn about work and energy associated with rotational motion. shows a worker using an electric grindstone propelled by a motor. Spa...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Conservation of angular momentum	Conservation of angular momentum	Angular Momentum and Its Conservation m42182 Angular Momentum and Its Conservation 7de5be93-09e1-4ab6-8282-bec00a3e9f3d Learning Objectives By the end of this section, you will be able to: Understand 	undergraduate	1	general_physics	3	4	Core	31	No	Forces; Newton's Laws	Learning Objectives By the end of this section, you will be able to: Understand the analogy between angular momentum and linear momentum. Observe the relationship between torque and angular momentum. Apply the law of conservation of angular momentum. Why does Earth keep on spinning? What started it spinning to begin with? And how does an ice skater manage to spin faster and fas...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Fluid Mechanics	Fluid Mechanics	Connection for AP® Courses m55199 Connection for AP® Courses 432b8e5e-2412-41a0-a121-9708dd3f1527 The fluid essential to all life has a beauty of its own.	undergraduate	1	general_physics	4	4	Core	32	Yes		Understand fundamental concepts	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Pressure the in human body	Pressure the in human body	Pressures in the Body m42199 Pressures in the Body 156f6f78-a4e7-454d-a032-9b14f4223cd9 Learning Objectives By the end of this section, you will be able to: Explain the concept of pressure the in huma	undergraduate	1	general_physics	4	4	Core	33	No		Learning Objectives By the end of this section, you will be able to: Explain the concept of pressure the in human body. Explain systolic and diastolic blood pressures. Describe pressures in the eye, lungs, spinal column, bladder, and skeletal system. Pressure in the Body Next to taking a person’s temperature and weight, measuring blood pressure is the most common of all medical examinations. Control of high b...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
The Ideal Gas Law	The Ideal Gas Law	The Ideal Gas Law m42216 The Ideal Gas Law 8f4cb076-9f5f-4a21-966e-079d768f7a98 Learning Objectives By the end of this section, you will be able to: State the ideal gas law in terms of molecules and i	undergraduate	1	general_physics	3	4	Core	34	No		Learning Objectives By the end of this section, you will be able to: State the ideal gas law in terms of molecules and in terms of moles. Use the ideal gas law to calculate pressure change, temperature change, volume change, or the number of molecules or moles in a given volume. Use Avogadro’s number to convert between number of molecules and number of moles. The air inside this hot air balloon flying over Putrajaya,...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Thermodynamics The First Law of Thermodynamics Learning Objectives By the end of this section	Thermodynamics The First Law of Thermodynamics Learning Objectives By the end of this section	The First Law of Thermodynamics m42232 The First Law of Thermodynamics fb11b483-b85f-4cda-bec7-4dfd136dba60 Learning Objectives By the end of this section, you will be able to: Define the first law of	undergraduate	1	general_physics	4	4	Core	35	Yes	Kinematics	Learning Objectives By the end of this section, you will be able to: Define the first law of thermodynamics. Describe how conservation of energy relates to the first law of thermodynamics. Identify instances of the first law of thermodynamics working in everyday situations, including biological metabolism. Calculate changes in the internal energy of a system, after accounting for heat tran...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Thermodynamics and Some Simple Processes The First Law of Thermodynamics and Some Simple Processes Learning Objectives By the end of this section	Thermodynamics and Some Simple Processes The First Law of Thermodynamics and Some Simple Processes Learning Objectives By the end of this section	The First Law of Thermodynamics and Some Simple Processes m42233 The First Law of Thermodynamics and Some Simple Processes c54309db-5b78-4a77-9e4f-61adc778cb50 Learning Objectives By the end of this s	undergraduate	1	general_physics	4	4	Core	36	Yes	Kinematics	Learning Objectives By the end of this section, you will be able to: Describe the processes of a simple heat engine. Explain the differences among the simple thermodynamic processes—isobaric, isochoric, isothermal, and adiabatic. Calculate total work done in a cyclical thermodynamic process. Beginning with the Industrial Revolution, human...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Thermodynamics: Heat Engines and Their Efficiency Introduction to the Second Law of Thermodynamics: Heat Engines and Their Efficiency Learning Objectives By the end of this section	Thermodynamics: Heat Engines and Their Efficiency Introduction to the Second Law of Thermodynamics: Heat Engines and Their Efficiency Learning Objectives By the end of this section	Introduction to the Second Law of Thermodynamics: Heat Engines and Their Efficiency m42234 Introduction to the Second Law of Thermodynamics: Heat Engines and Their Efficiency fd148e61-8909-46dc-be6f-4	undergraduate	1	general_physics	4	4	Core	37	Yes	Kinematics	Learning Objectives By the end of this section, you will be able to: State the expressions of the second law of thermodynamics. Calculate the efficiency and carbon dioxide emission of a coalfired electricity plant, using second law characteristics. Describe and define the Otto cycle. Th...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Thermodynamics Restated Carnot’s Perfect Heat Engine: The Second Law of Thermodynamics Restated Learning Objectives By the end of this section	Thermodynamics Restated Carnot’s Perfect Heat Engine: The Second Law of Thermodynamics Restated Learning Objectives By the end of this section	Carnot’s Perfect Heat Engine: The Second Law of Thermodynamics Restated m42235 Carnot’s Perfect Heat Engine: The Second Law of Thermodynamics Restated 2f8e92ba-f6a4-4fae-9228-64fd959894d8 Learning Obj	undergraduate	1	general_physics	4	4	Core	38	Yes	Kinematics	Learning Objectives By the end of this section, you will be able to: Identify a Carnot cycle. Calculate maximum theoretical efficiency of a nuclear reactor. Explain how dissipative processes affect the ideal Carnot engine. This novelty toy, known as the drinking bird, is an example of Carnot’s engine. It contai...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Thermodynamics: Disorder and the Unavailability of Energy Entropy and the Second Law of Thermodynamics: Disorder and the Unavailability of Energy Learning Objectives By the end of this section	Thermodynamics: Disorder and the Unavailability of Energy Entropy and the Second Law of Thermodynamics: Disorder and the Unavailability of Energy Learning Objectives By the end of this section	Entropy and the Second Law of Thermodynamics: Disorder and the Unavailability of Energy m42237 Entropy and the Second Law of Thermodynamics: Disorder and the Unavailability of Energy 15a50194-9cf1-484	undergraduate	1	general_physics	4	4	Core	39	Yes	Kinematics	Learning Objectives By the end of this section, you will be able to: Define entropy and calculate the increase of entropy in a system with reversible and irreversible processes. Explain the expected fate of the universe in entropic terms. Calculate the increasing disorder of a sy...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Thermodynamics: The Underlying Explanation Statistical Interpretation of Entropy and the Second Law of Thermodynamics: The Underlying Explanation Learning Objectives By the end of this section	Thermodynamics: The Underlying Explanation Statistical Interpretation of Entropy and the Second Law of Thermodynamics: The Underlying Explanation Learning Objectives By the end of this section	Statistical Interpretation of Entropy and the Second Law of Thermodynamics: The Underlying Explanation m42238 Statistical Interpretation of Entropy and the Second Law of Thermodynamics: The Underlying	undergraduate	1	general_physics	4	4	Core	40	Yes	Kinematics	Learning Objectives By the end of this section, you will be able to: Identify probabilities in entropy. Analyze statistical probabilities in entropic systems. When you toss a coin a large number of times, heads and tails tend to come up in roughly eq...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Motion with respect to stress and deformation	Motion with respect to stress and deformation	Hooke’s Law: Stress and Strain Revisited m42240 Hooke’s Law: Stress and Strain Revisited a7c21260-3cf9-49cc-91f7-b631fa0c5d42 Learning Objectives By the end of this section, you will be able to: Expla	undergraduate	1	general_physics	3	4	Core	41	No		Learning Objectives By the end of this section, you will be able to: Explain Newton’s third law of motion with respect to stress and deformation. Describe the restoration of force and displacement. Calculate the energy in Hooke’s Law of deformation, and the stored energy in a spring. When displaced from its vertical equilibrium position, this plastic ruler oscillates back...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Conservation of charge	Conservation of charge	Static Electricity and Charge: Conservation of Charge m42300 Static Electricity and Charge: Conservation of Charge bb7dc37b-5a71-4f4d-b83f-524e0f1b3c74 Learning Objectives By the end of this section, 	undergraduate	1	general_physics	3	4	Core	42	Yes		Learning Objectives By the end of this section, you will be able to: Define electric charge, and describe how the two types of charge interact. Describe three common situations that generate static electricity. State the law of conservation of charge. Borneo amber was mined in Sabah, Malaysia, from shalesandstonemudstone veins. When a piece of ...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
A field revisited electric field: concept of a field revisited learning objectives by the end of this section	A field revisited electric field: concept of a field revisited learning objectives by the end of this section	Electric Field: Concept of a Field Revisited m42310 Electric Field: Concept of a Field Revisited db918015-7645-42cf-8bf7-64d09ad7b838 Learning Objectives By the end of this section, you will be able t	undergraduate	1	general_physics	3	4	Core	43	Yes		Learning Objectives By the end of this section, you will be able to: Describe a force field and calculate the strength of an electric field due to a point charge. Calculate the force exerted on a test charge by an electric field. Explain the relationship between electrical force (F) on a test charge and electrical field strength (E). Contact forces, such as betwee...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
Resistivity	Resistivity	Resistance and Resistivity m42346 Resistance and Resistivity a5e2058d-3bf0-4538-9e0d-d72e24a9acfd Learning Objectives By the end of this section, you will be able to: Explain the concept of resistivit	undergraduate	1	general_physics	3	4	Core	44	No		Learning Objectives By the end of this section, you will be able to: Explain the concept of resistivity. Use resistivity to calculate the resistance of specified configurations of material. Use the thermal coefficient of resistivity to calculate the change of resistance with temperature. Material and Shape Dependence of Resistance The resistance of an object depends on its shape and the material of ...	Problem solving; Conceptual understanding; Application	College Physics for AP® Courses 2e	content_processing
