Topic	Subtopic	Description	Educational_Level	Depth_Level	Domain	Difficulty	Duration_Hours	Is_Core	Pedagogical_Order	MCAT_Relevant	Prerequisites	Learning_Objectives	Assessment_Methods	Source_Books
Introduction to Scalars and Vectors	Introduction to Scalars and Vectors	Detailed study of scalars and vectors at high_school level	high_school	1	mechanics	1	2	Core	26	No	Physics_high_school_7_01	Define key concepts in scalars and vectors; Explain basic principles of scalars and vectors; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Scalars and Vectors	Introduction to Scalars and Vectors	Detailed study of scalars and vectors at high_school level	high_school	1	mechanics	1	2	Core	27	No	Physics_high_school_8_01	Define key concepts in scalars and vectors; Explain basic principles of scalars and vectors; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Scalars and Vectors	Introduction to Scalars and Vectors	Detailed study of scalars and vectors at high_school level	high_school	1	mechanics	1	2	Core	28	No	Physics_high_school_9_01	Define key concepts in scalars and vectors; Explain basic principles of scalars and vectors; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Scalars and Vectors	Introduction to Scalars and Vectors	Detailed study of scalars and vectors at high_school level	high_school	1	mechanics	1	2	Core	29	No	Physics_high_school_11_01	Define key concepts in scalars and vectors; Explain basic principles of scalars and vectors; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Scalars and Vectors	Introduction to Scalars and Vectors	Detailed study of scalars and vectors at high_school level	high_school	1	mechanics	1	2	Core	30	No	Physics_high_school_12_01	Define key concepts in scalars and vectors; Explain basic principles of scalars and vectors; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Scalars and Vectors	Introduction to Scalars and Vectors	Detailed study of scalars and vectors at high_school level	high_school	1	mechanics	1	2	Core	31	No	Physics_high_school_14_01	Define key concepts in scalars and vectors; Explain basic principles of scalars and vectors; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Scalars and Vectors	Introduction to Scalars and Vectors	Detailed study of scalars and vectors at high_school level	high_school	1	mechanics	1	2	Core	32	No	Physics_high_school_15_01	Define key concepts in scalars and vectors; Explain basic principles of scalars and vectors; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Scalars and Vectors	Introduction to Scalars and Vectors	Detailed study of scalars and vectors at high_school level	high_school	1	mechanics	1	2	Core	33	No	Physics_high_school_16_01	Define key concepts in scalars and vectors; Explain basic principles of scalars and vectors; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Scalars and Vectors	Introduction to Scalars and Vectors	Detailed study of scalars and vectors at high_school level	high_school	1	mechanics	1	2	Core	34	No	Physics_high_school_17_01	Define key concepts in scalars and vectors; Explain basic principles of scalars and vectors; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Scalars and Vectors	Introduction to Scalars and Vectors	Detailed study of scalars and vectors at high_school level	high_school	1	mechanics	1	2	Core	35	No	Physics_high_school_19_01	Define key concepts in scalars and vectors; Explain basic principles of scalars and vectors; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in One Dimension	Introduction to Motion in One Dimension	Detailed study of motion in one dimension at high_school level	high_school	1	mechanics	1	2	Core	36	No		Define key concepts in motion in one dimension; Explain basic principles of motion in one dimension; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Motion in One Dimension	Motion in One Dimension	Chapter covering motion in one dimension concepts	high_school	1	mechanics	1	2	Core	37	No	Physics_high_school_1_02			Physics
Introduction to Motion in One Dimension	Introduction to Motion in One Dimension	Detailed study of motion in one dimension at high_school level	high_school	1	mechanics	1	2	Core	38	No	Physics_high_school_ch_2	Define key concepts in motion in one dimension; Explain basic principles of motion in one dimension; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in One Dimension	Introduction to Motion in One Dimension	Detailed study of motion in one dimension at high_school level	high_school	1	mechanics	1	2	Core	39	No	Physics_high_school_2_02	Define key concepts in motion in one dimension; Explain basic principles of motion in one dimension; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in One Dimension	Introduction to Motion in One Dimension	Detailed study of motion in one dimension at high_school level	high_school	1	mechanics	1	2	Core	40	No	Physics_high_school_3_02	Define key concepts in motion in one dimension; Explain basic principles of motion in one dimension; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in One Dimension	Introduction to Motion in One Dimension	Detailed study of motion in one dimension at high_school level	high_school	1	mechanics	1	2	Core	41	No	Physics_high_school_4_02	Define key concepts in motion in one dimension; Explain basic principles of motion in one dimension; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in One Dimension	Introduction to Motion in One Dimension	Detailed study of motion in one dimension at high_school level	high_school	1	mechanics	1	2	Core	42	No	Physics_high_school_5_02	Define key concepts in motion in one dimension; Explain basic principles of motion in one dimension; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in One Dimension	Introduction to Motion in One Dimension	Detailed study of motion in one dimension at high_school level	high_school	1	mechanics	1	2	Core	43	No	Physics_high_school_6_02	Define key concepts in motion in one dimension; Explain basic principles of motion in one dimension; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in One Dimension	Introduction to Motion in One Dimension	Detailed study of motion in one dimension at high_school level	high_school	1	mechanics	1	2	Core	44	No	Physics_high_school_7_02	Define key concepts in motion in one dimension; Explain basic principles of motion in one dimension; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in One Dimension	Introduction to Motion in One Dimension	Detailed study of motion in one dimension at high_school level	high_school	1	mechanics	1	2	Core	45	No	Physics_high_school_8_02	Define key concepts in motion in one dimension; Explain basic principles of motion in one dimension; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in One Dimension	Introduction to Motion in One Dimension	Detailed study of motion in one dimension at high_school level	high_school	1	mechanics	1	2	Core	46	No	Physics_high_school_9_02	Define key concepts in motion in one dimension; Explain basic principles of motion in one dimension; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in One Dimension	Introduction to Motion in One Dimension	Detailed study of motion in one dimension at high_school level	high_school	1	mechanics	1	2	Core	47	No	Physics_high_school_11_02	Define key concepts in motion in one dimension; Explain basic principles of motion in one dimension; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in One Dimension	Introduction to Motion in One Dimension	Detailed study of motion in one dimension at high_school level	high_school	1	mechanics	1	2	Core	48	No	Physics_high_school_12_02	Define key concepts in motion in one dimension; Explain basic principles of motion in one dimension; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in One Dimension	Introduction to Motion in One Dimension	Detailed study of motion in one dimension at high_school level	high_school	1	mechanics	1	2	Core	49	No	Physics_high_school_14_02	Define key concepts in motion in one dimension; Explain basic principles of motion in one dimension; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in One Dimension	Introduction to Motion in One Dimension	Detailed study of motion in one dimension at high_school level	high_school	1	mechanics	1	2	Core	50	No	Physics_high_school_15_02	Define key concepts in motion in one dimension; Explain basic principles of motion in one dimension; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in One Dimension	Introduction to Motion in One Dimension	Detailed study of motion in one dimension at high_school level	high_school	1	mechanics	1	2	Core	51	No	Physics_high_school_16_02	Define key concepts in motion in one dimension; Explain basic principles of motion in one dimension; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in One Dimension	Introduction to Motion in One Dimension	Detailed study of motion in one dimension at high_school level	high_school	1	mechanics	1	2	Core	52	No	Physics_high_school_17_02	Define key concepts in motion in one dimension; Explain basic principles of motion in one dimension; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in One Dimension	Introduction to Motion in One Dimension	Detailed study of motion in one dimension at high_school level	high_school	1	mechanics	1	2	Core	53	No	Physics_high_school_19_02	Define key concepts in motion in one dimension; Explain basic principles of motion in one dimension; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in Two Dimensions	Introduction to Motion in Two Dimensions	Detailed study of motion in two dimensions at high_school level	high_school	1	mechanics	1	2	Core	54	No		Define key concepts in motion in two dimensions; Explain basic principles of motion in two dimensions; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in Two Dimensions	Introduction to Motion in Two Dimensions	Detailed study of motion in two dimensions at high_school level	high_school	1	mechanics	1	2	Core	55	No	Physics_high_school_1_03	Define key concepts in motion in two dimensions; Explain basic principles of motion in two dimensions; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in Two Dimensions	Introduction to Motion in Two Dimensions	Detailed study of motion in two dimensions at high_school level	high_school	1	mechanics	1	2	Core	56	No	Physics_high_school_2_03	Define key concepts in motion in two dimensions; Explain basic principles of motion in two dimensions; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in Two Dimensions	Introduction to Motion in Two Dimensions	Detailed study of motion in two dimensions at high_school level	high_school	1	mechanics	1	2	Core	57	No	Physics_high_school_3_03	Define key concepts in motion in two dimensions; Explain basic principles of motion in two dimensions; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Motion in Two Dimensions	Motion in Two Dimensions	Chapter covering motion in two dimensions concepts	high_school	1	mechanics	1	2	Core	58	No	Physics_high_school_4_03			Physics
Introduction to Motion in Two Dimensions	Introduction to Motion in Two Dimensions	Detailed study of motion in two dimensions at high_school level	high_school	1	mechanics	1	2	Core	59	No	Physics_high_school_ch_5	Define key concepts in motion in two dimensions; Explain basic principles of motion in two dimensions; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in Two Dimensions	Introduction to Motion in Two Dimensions	Detailed study of motion in two dimensions at high_school level	high_school	1	mechanics	1	2	Core	60	No	Physics_high_school_5_03	Define key concepts in motion in two dimensions; Explain basic principles of motion in two dimensions; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in Two Dimensions	Introduction to Motion in Two Dimensions	Detailed study of motion in two dimensions at high_school level	high_school	1	mechanics	1	2	Core	61	No	Physics_high_school_6_03	Define key concepts in motion in two dimensions; Explain basic principles of motion in two dimensions; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in Two Dimensions	Introduction to Motion in Two Dimensions	Detailed study of motion in two dimensions at high_school level	high_school	1	mechanics	1	2	Core	62	No	Physics_high_school_7_03	Define key concepts in motion in two dimensions; Explain basic principles of motion in two dimensions; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in Two Dimensions	Introduction to Motion in Two Dimensions	Detailed study of motion in two dimensions at high_school level	high_school	1	mechanics	1	2	Core	63	No	Physics_high_school_8_03	Define key concepts in motion in two dimensions; Explain basic principles of motion in two dimensions; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in Two Dimensions	Introduction to Motion in Two Dimensions	Detailed study of motion in two dimensions at high_school level	high_school	1	mechanics	1	2	Core	64	No	Physics_high_school_9_03	Define key concepts in motion in two dimensions; Explain basic principles of motion in two dimensions; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in Two Dimensions	Introduction to Motion in Two Dimensions	Detailed study of motion in two dimensions at high_school level	high_school	1	mechanics	1	2	Core	65	No	Physics_high_school_11_03	Define key concepts in motion in two dimensions; Explain basic principles of motion in two dimensions; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in Two Dimensions	Introduction to Motion in Two Dimensions	Detailed study of motion in two dimensions at high_school level	high_school	1	mechanics	1	2	Core	66	No	Physics_high_school_12_03	Define key concepts in motion in two dimensions; Explain basic principles of motion in two dimensions; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in Two Dimensions	Introduction to Motion in Two Dimensions	Detailed study of motion in two dimensions at high_school level	high_school	1	mechanics	1	2	Core	67	No	Physics_high_school_14_03	Define key concepts in motion in two dimensions; Explain basic principles of motion in two dimensions; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in Two Dimensions	Introduction to Motion in Two Dimensions	Detailed study of motion in two dimensions at high_school level	high_school	1	mechanics	1	2	Core	68	No	Physics_high_school_15_03	Define key concepts in motion in two dimensions; Explain basic principles of motion in two dimensions; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in Two Dimensions	Introduction to Motion in Two Dimensions	Detailed study of motion in two dimensions at high_school level	high_school	1	mechanics	1	2	Core	69	No	Physics_high_school_16_03	Define key concepts in motion in two dimensions; Explain basic principles of motion in two dimensions; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in Two Dimensions	Introduction to Motion in Two Dimensions	Detailed study of motion in two dimensions at high_school level	high_school	1	mechanics	1	2	Core	70	No	Physics_high_school_17_03	Define key concepts in motion in two dimensions; Explain basic principles of motion in two dimensions; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Motion in Two Dimensions	Introduction to Motion in Two Dimensions	Detailed study of motion in two dimensions at high_school level	high_school	1	mechanics	1	2	Core	71	No	Physics_high_school_19_03	Define key concepts in motion in two dimensions; Explain basic principles of motion in two dimensions; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Newton's Laws	Introduction to Newton's Laws	Detailed study of newton's laws at high_school level	high_school	1	mechanics	1	2	Core	72	No		Define key concepts in newton's laws; Explain basic principles of newton's laws; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Newton's Laws	Introduction to Newton's Laws	Detailed study of newton's laws at high_school level	high_school	1	mechanics	1	2	Core	73	No	Physics_high_school_1_04	Define key concepts in newton's laws; Explain basic principles of newton's laws; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Newton's Laws	Introduction to Newton's Laws	Detailed study of newton's laws at high_school level	high_school	1	mechanics	1	2	Core	74	No	Physics_high_school_2_04	Define key concepts in newton's laws; Explain basic principles of newton's laws; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Newton's Laws	Introduction to Newton's Laws	Detailed study of newton's laws at high_school level	high_school	1	mechanics	1	2	Core	75	No	Physics_high_school_3_04	Define key concepts in newton's laws; Explain basic principles of newton's laws; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Newton's Laws	Introduction to Newton's Laws	Detailed study of newton's laws at high_school level	high_school	1	mechanics	1	2	Core	76	No	Physics_high_school_4_04	Define key concepts in newton's laws; Explain basic principles of newton's laws; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Newton's Laws	Introduction to Newton's Laws	Detailed study of newton's laws at high_school level	high_school	1	mechanics	1	2	Core	77	No	Physics_high_school_5_04	Define key concepts in newton's laws; Explain basic principles of newton's laws; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Newton's Laws	Introduction to Newton's Laws	Detailed study of newton's laws at high_school level	high_school	1	mechanics	1	2	Core	78	No	Physics_high_school_6_04	Define key concepts in newton's laws; Explain basic principles of newton's laws; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Newton's Laws	Introduction to Newton's Laws	Detailed study of newton's laws at high_school level	high_school	1	mechanics	1	2	Core	79	No	Physics_high_school_7_04	Define key concepts in newton's laws; Explain basic principles of newton's laws; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Newton's Laws	Introduction to Newton's Laws	Detailed study of newton's laws at high_school level	high_school	1	mechanics	1	2	Core	80	No	Physics_high_school_8_04	Define key concepts in newton's laws; Explain basic principles of newton's laws; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Newton's Laws	Introduction to Newton's Laws	Detailed study of newton's laws at high_school level	high_school	1	mechanics	1	2	Core	81	No	Physics_high_school_9_04	Define key concepts in newton's laws; Explain basic principles of newton's laws; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Newton's Laws	Introduction to Newton's Laws	Detailed study of newton's laws at high_school level	high_school	1	mechanics	1	2	Core	82	No	Physics_high_school_11_04	Define key concepts in newton's laws; Explain basic principles of newton's laws; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Newton's Laws	Introduction to Newton's Laws	Detailed study of newton's laws at high_school level	high_school	1	mechanics	1	2	Core	83	No	Physics_high_school_12_04	Define key concepts in newton's laws; Explain basic principles of newton's laws; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Newton's Laws	Introduction to Newton's Laws	Detailed study of newton's laws at high_school level	high_school	1	mechanics	1	2	Core	84	No	Physics_high_school_14_04	Define key concepts in newton's laws; Explain basic principles of newton's laws; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Newton's Laws	Introduction to Newton's Laws	Detailed study of newton's laws at high_school level	high_school	1	mechanics	1	2	Core	85	No	Physics_high_school_15_04	Define key concepts in newton's laws; Explain basic principles of newton's laws; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Newton's Laws	Introduction to Newton's Laws	Detailed study of newton's laws at high_school level	high_school	1	mechanics	1	2	Core	86	No	Physics_high_school_16_04	Define key concepts in newton's laws; Explain basic principles of newton's laws; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Newton's Laws	Introduction to Newton's Laws	Detailed study of newton's laws at high_school level	high_school	1	mechanics	1	2	Core	87	No	Physics_high_school_17_04	Define key concepts in newton's laws; Explain basic principles of newton's laws; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Introduction to Newton's Laws	Introduction to Newton's Laws	Detailed study of newton's laws at high_school level	high_school	1	mechanics	1	2	Core	88	No	Physics_high_school_19_04	Define key concepts in newton's laws; Explain basic principles of newton's laws; Apply fundamental equations to solve simple problems	Multiple choice questions; Short answer problems; Basic calculations	Physics
Acceleration	Acceleration	Chapter covering acceleration concepts	high_school	1	mechanics	1	2	Core	89	No				Physics
Forces and Newton’s Laws of Motion	Forces and Newton’s Laws of Motion	Chapter covering forces and newton’s laws of motion concepts	high_school	1	mechanics	1	2	Core	90	Yes				Physics
Circular and Rotational Motion	Circular and Rotational Motion	Chapter covering circular and rotational motion concepts	high_school	1	mechanics	1	2	Core	91	No				Physics
Newton's Law of Gravitation	Newton's Law of Gravitation	Chapter covering newton's law of gravitation concepts	high_school	1	mechanics	1	2	Core	92	No				Physics
Momentum	Momentum	Chapter covering momentum concepts	high_school	1	mechanics	1	2	Core	93	Yes				Physics
