topic_id	title	classification	level	level_name	domain	category	concept	topic	subtopic	learning_element	full_path	parent_path	topic_level	topic_domain	prerequisites_count	prerequisites	prerequisite_types	avg_prerequisite_confidence	standards_count	mapped_standards	mcat_mapped	ib_mapped	a_level_mapped	igcse_mapped	avg_standards_confidence	bloom_levels	difficulty_levels	application_domains
core → General Physics → Introduction: The Nature Of Science And Physics → Conceptual Questions	Conceptual Questions	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Conceptual Questions				core → General Physics → Introduction: The Nature Of Science And Physics → Conceptual Questions	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Si Units: Fundamental And Derived Units	Si Units: Fundamental And Derived Units	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Si Units: Fundamental And Derived Units				core → General Physics → Introduction: The Nature Of Science And Physics → Si Units: Fundamental And Derived Units	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Units Of Time, Length, And Mass: The Second, Meter, And Kilogram	Units Of Time, Length, And Mass: The Second, Meter, And Kilogram	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Units Of Time, Length, And Mass: The Second, Meter, And Kilogram				core → General Physics → Introduction: The Nature Of Science And Physics → Units Of Time, Length, And Mass: The Second, Meter, And Kilogram	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → The Second	The Second	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	The Second				core → General Physics → Introduction: The Nature Of Science And Physics → The Second	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → The Meter	The Meter	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	The Meter				core → General Physics → Introduction: The Nature Of Science And Physics → The Meter	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → The Kilogram	The Kilogram	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	The Kilogram				core → General Physics → Introduction: The Nature Of Science And Physics → The Kilogram	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Metric Prefixes	Metric Prefixes	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Metric Prefixes				core → General Physics → Introduction: The Nature Of Science And Physics → Metric Prefixes	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Known Ranges Of Length, Mass, And Time	Known Ranges Of Length, Mass, And Time	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Known Ranges Of Length, Mass, And Time				core → General Physics → Introduction: The Nature Of Science And Physics → Known Ranges Of Length, Mass, And Time	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Unit Conversion And Dimensional Analysis	Unit Conversion And Dimensional Analysis	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Unit Conversion And Dimensional Analysis				core → General Physics → Introduction: The Nature Of Science And Physics → Unit Conversion And Dimensional Analysis	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises	Problem Exercises	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Problem Exercises				core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises → The Second	The Second	core	4	Topic	General Physics	Introduction: The Nature Of Science And Physics	Problem Exercises	The Second			core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises → The Second	core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises	4		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises → The Meter	The Meter	core	4	Topic	General Physics	Introduction: The Nature Of Science And Physics	Problem Exercises	The Meter			core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises → The Meter	core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises	4		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises → The Kilogram	The Kilogram	core	4	Topic	General Physics	Introduction: The Nature Of Science And Physics	Problem Exercises	The Kilogram			core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises → The Kilogram	core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises	4		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises → Uncertainty in Physics	Uncertainty in Physics	core	4	Topic	General Physics	Introduction: The Nature Of Science And Physics	Problem Exercises	Uncertainty in Physics			core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises → Uncertainty in Physics	core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises	4		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises → Uncertainty in Calculations	Uncertainty in Calculations	core	4	Topic	General Physics	Introduction: The Nature Of Science And Physics	Problem Exercises	Uncertainty in Calculations			core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises → Uncertainty in Calculations	core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises	4		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises → Zeros	Zeros	core	4	Topic	General Physics	Introduction: The Nature Of Science And Physics	Problem Exercises	Zeros			core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises → Zeros	core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises	4		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises → Significant Figures In Calculations	Significant Figures In Calculations	core	4	Topic	General Physics	Introduction: The Nature Of Science And Physics	Problem Exercises	Significant Figures In Calculations			core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises → Significant Figures In Calculations	core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises	4		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises → Significant Figures in Calculations	Significant Figures in Calculations	core	4	Topic	General Physics	Introduction: The Nature Of Science And Physics	Problem Exercises	Significant Figures in Calculations			core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises → Significant Figures in Calculations	core → General Physics → Introduction: The Nature Of Science And Physics → Problem Exercises	4		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Accuracy, Precision, And Uncertainty in Measurements	Accuracy, Precision, And Uncertainty in Measurements	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Accuracy, Precision, And Uncertainty in Measurements				core → General Physics → Introduction: The Nature Of Science And Physics → Accuracy, Precision, And Uncertainty in Measurements	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Uncertainty in Measurements	Uncertainty in Measurements	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Uncertainty in Measurements				core → General Physics → Introduction: The Nature Of Science And Physics → Uncertainty in Measurements	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Uncertainty in Calculations	Uncertainty in Calculations	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Uncertainty in Calculations				core → General Physics → Introduction: The Nature Of Science And Physics → Uncertainty in Calculations	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Accuracy, Precision And Significant Figures	Accuracy, Precision And Significant Figures	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Accuracy, Precision And Significant Figures				core → General Physics → Introduction: The Nature Of Science And Physics → Accuracy, Precision And Significant Figures	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Zeros	Zeros	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Zeros				core → General Physics → Introduction: The Nature Of Science And Physics → Zeros	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Significant Figures In Calculations	Significant Figures In Calculations	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Significant Figures In Calculations				core → General Physics → Introduction: The Nature Of Science And Physics → Significant Figures In Calculations	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Significant Figures in Calculations	Significant Figures in Calculations	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Significant Figures in Calculations				core → General Physics → Introduction: The Nature Of Science And Physics → Significant Figures in Calculations	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Introduction: The Nature Of Science And Physics → Introduction To Science And The Realm Of Physics, Physical Quantities, And Units	Introduction To Science And The Realm Of Physics, Physical Quantities, And Units	core	3	Concept	General Physics	Introduction: The Nature Of Science And Physics	Introduction To Science And The Realm Of Physics, Physical Quantities, And Units				core → General Physics → Introduction: The Nature Of Science And Physics → Introduction To Science And The Realm Of Physics, Physical Quantities, And Units	core → General Physics → Introduction: The Nature Of Science And Physics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics	Kinematics	core	2	Category	General Physics	Kinematics					core → General Physics → Kinematics	core → General Physics	2		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → AP Physics Course Preparation	AP Physics Course Preparation	core	3	Concept	General Physics	Kinematics	AP Physics Course Preparation				core → General Physics → Kinematics → AP Physics Course Preparation	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Learning Objectives	Learning Objectives	core	3	Concept	General Physics	Kinematics	Learning Objectives				core → General Physics → Kinematics → Learning Objectives	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Position	Position	core	3	Concept	General Physics	Kinematics	Position				core → General Physics → Kinematics → Position	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Distance and Displacement	Distance and Displacement	core	3	Concept	General Physics	Kinematics	Distance and Displacement				core → General Physics → Kinematics → Distance and Displacement	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Distance	Distance	core	3	Concept	General Physics	Kinematics	Distance				core → General Physics → Kinematics → Distance	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Summary	Summary	core	3	Concept	General Physics	Kinematics	Summary				core → General Physics → Kinematics → Summary	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Conceptual Questions	Conceptual Questions	core	3	Concept	General Physics	Kinematics	Conceptual Questions				core → General Physics → Kinematics → Conceptual Questions	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Conceptual Questions → Physics Curriculum Step	Physics Curriculum Step	core	4	Topic	General Physics	Kinematics	Conceptual Questions	Physics Curriculum Step			core → General Physics → Kinematics → Conceptual Questions → Physics Curriculum Step	core → General Physics → Kinematics → Conceptual Questions	4		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Problem Exercises	Problem Exercises	core	3	Concept	General Physics	Kinematics	Problem Exercises				core → General Physics → Kinematics → Problem Exercises	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Coordinate Systems For One-Dimensional Motion	Coordinate Systems For One-Dimensional Motion	core	3	Concept	General Physics	Kinematics	Coordinate Systems For One-Dimensional Motion				core → General Physics → Kinematics → Coordinate Systems For One-Dimensional Motion	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Time	Time	core	3	Concept	General Physics	Kinematics	Time				core → General Physics → Kinematics → Time	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Velocity	Velocity	core	3	Concept	General Physics	Kinematics	Velocity				core → General Physics → Kinematics → Velocity	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Speed	Speed	core	3	Concept	General Physics	Kinematics	Speed				core → General Physics → Kinematics → Speed	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Instantaneous Acceleration	Instantaneous Acceleration	core	3	Concept	General Physics	Kinematics	Instantaneous Acceleration				core → General Physics → Kinematics → Instantaneous Acceleration	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Sign And Direction	Sign And Direction	core	3	Concept	General Physics	Kinematics	Sign And Direction				core → General Physics → Kinematics → Sign And Direction	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Notation:	Notation:	core	3	Concept	General Physics	Kinematics	Notation:				core → General Physics → Kinematics → Notation:	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Putting Equations Together	Putting Equations Together	core	3	Concept	General Physics	Kinematics	Putting Equations Together				core → General Physics → Kinematics → Putting Equations Together	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Problem-Solving Steps	Problem-Solving Steps	core	3	Concept	General Physics	Kinematics	Problem-Solving Steps				core → General Physics → Kinematics → Problem-Solving Steps	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Physics Step	Physics Step	core	3	Concept	General Physics	Kinematics	Physics Step				core → General Physics → Kinematics → Physics Step	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Unreasonable Results	Unreasonable Results	core	3	Concept	General Physics	Kinematics	Unreasonable Results				core → General Physics → Kinematics → Unreasonable Results	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Gravitation	Gravitation	core	3	Concept	General Physics	Kinematics	Gravitation				core → General Physics → Kinematics → Gravitation	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → One-Dimensional Motion Involving Gravity	One-Dimensional Motion Involving Gravity	core	3	Concept	General Physics	Kinematics	One-Dimensional Motion Involving Gravity				core → General Physics → Kinematics → One-Dimensional Motion Involving Gravity	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Slopes And General Relationships	Slopes And General Relationships	core	3	Concept	General Physics	Kinematics	Slopes And General Relationships				core → General Physics → Kinematics → Slopes And General Relationships	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Graph Of Position Vs. Time (	Graph Of Position Vs. Time (	core	3	Concept	General Physics	Kinematics	Graph Of Position Vs. Time (				core → General Physics → Kinematics → Graph Of Position Vs. Time (	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Graphs Of Motion When	Graphs Of Motion When	core	3	Concept	General Physics	Kinematics	Graphs Of Motion When				core → General Physics → Kinematics → Graphs Of Motion When	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Graphs Of Motion Where Acceleration Is Not Constant	Graphs Of Motion Where Acceleration Is Not Constant	core	3	Concept	General Physics	Kinematics	Graphs Of Motion Where Acceleration Is Not Constant				core → General Physics → Kinematics → Graphs Of Motion Where Acceleration Is Not Constant	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Kinematics → Introduction To One-Dimensional Kinematics	Introduction To One-Dimensional Kinematics	core	3	Concept	General Physics	Kinematics	Introduction To One-Dimensional Kinematics				core → General Physics → Kinematics → Introduction To One-Dimensional Kinematics	core → General Physics → Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics	Two-Dimensional Kinematics	core	2	Category	General Physics	Two-Dimensional Kinematics					core → General Physics → Two-Dimensional Kinematics	core → General Physics	2		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics → AP Physics Course Preparation	AP Physics Course Preparation	core	3	Concept	General Physics	Two-Dimensional Kinematics	AP Physics Course Preparation				core → General Physics → Two-Dimensional Kinematics → AP Physics Course Preparation	core → General Physics → Two-Dimensional Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics → Learning Objectives	Learning Objectives	core	3	Concept	General Physics	Two-Dimensional Kinematics	Learning Objectives				core → General Physics → Two-Dimensional Kinematics → Learning Objectives	core → General Physics → Two-Dimensional Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics → Two-Dimensional Motion	Two-Dimensional Motion	core	3	Concept	General Physics	Two-Dimensional Kinematics	Two-Dimensional Motion				core → General Physics → Two-Dimensional Kinematics → Two-Dimensional Motion	core → General Physics → Two-Dimensional Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics → The Independence Of Perpendicular Motions	The Independence Of Perpendicular Motions	core	3	Concept	General Physics	Two-Dimensional Kinematics	The Independence Of Perpendicular Motions				core → General Physics → Two-Dimensional Kinematics → The Independence Of Perpendicular Motions	core → General Physics → Two-Dimensional Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics → Summary	Summary	core	3	Concept	General Physics	Two-Dimensional Kinematics	Summary				core → General Physics → Two-Dimensional Kinematics → Summary	core → General Physics → Two-Dimensional Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics → Vectors In Two Dimensions	Vectors In Two Dimensions	core	3	Concept	General Physics	Two-Dimensional Kinematics	Vectors In Two Dimensions				core → General Physics → Two-Dimensional Kinematics → Vectors In Two Dimensions	core → General Physics → Two-Dimensional Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics → Vector Addition: Head-To-Tail Method	Vector Addition: Head-To-Tail Method	core	3	Concept	General Physics	Two-Dimensional Kinematics	Vector Addition: Head-To-Tail Method				core → General Physics → Two-Dimensional Kinematics → Vector Addition: Head-To-Tail Method	core → General Physics → Two-Dimensional Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics → Vector Subtraction	Vector Subtraction	core	3	Concept	General Physics	Two-Dimensional Kinematics	Vector Subtraction				core → General Physics → Two-Dimensional Kinematics → Vector Subtraction	core → General Physics → Two-Dimensional Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics → Multiplication Of Vectors And Scalars	Multiplication Of Vectors And Scalars	core	3	Concept	General Physics	Two-Dimensional Kinematics	Multiplication Of Vectors And Scalars				core → General Physics → Two-Dimensional Kinematics → Multiplication Of Vectors And Scalars	core → General Physics → Two-Dimensional Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics → Resolving A Vector Into Components	Resolving A Vector Into Components	core	3	Concept	General Physics	Two-Dimensional Kinematics	Resolving A Vector Into Components				core → General Physics → Two-Dimensional Kinematics → Resolving A Vector Into Components	core → General Physics → Two-Dimensional Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics → Conceptual Questions	Conceptual Questions	core	3	Concept	General Physics	Two-Dimensional Kinematics	Conceptual Questions				core → General Physics → Two-Dimensional Kinematics → Conceptual Questions	core → General Physics → Two-Dimensional Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics → Problem Exercises	Problem Exercises	core	3	Concept	General Physics	Two-Dimensional Kinematics	Problem Exercises				core → General Physics → Two-Dimensional Kinematics → Problem Exercises	core → General Physics → Two-Dimensional Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics → Calculating Resultant Vector	Calculating Resultant Vector	core	3	Concept	General Physics	Two-Dimensional Kinematics	Calculating Resultant Vector				core → General Physics → Two-Dimensional Kinematics → Calculating Resultant Vector	core → General Physics → Two-Dimensional Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics → Adding Vectors Using Analytical Methods	Adding Vectors Using Analytical Methods	core	3	Concept	General Physics	Two-Dimensional Kinematics	Adding Vectors Using Analytical Methods				core → General Physics → Two-Dimensional Kinematics → Adding Vectors Using Analytical Methods	core → General Physics → Two-Dimensional Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics → Relative Velocity	Relative Velocity	core	3	Concept	General Physics	Two-Dimensional Kinematics	Relative Velocity				core → General Physics → Two-Dimensional Kinematics → Relative Velocity	core → General Physics → Two-Dimensional Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics → Relative Velocities And Classical Relativity	Relative Velocities And Classical Relativity	core	3	Concept	General Physics	Two-Dimensional Kinematics	Relative Velocities And Classical Relativity				core → General Physics → Two-Dimensional Kinematics → Relative Velocities And Classical Relativity	core → General Physics → Two-Dimensional Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Two-Dimensional Kinematics → Introduction To Two-Dimensional Kinematics	Introduction To Two-Dimensional Kinematics	core	3	Concept	General Physics	Two-Dimensional Kinematics	Introduction To Two-Dimensional Kinematics				core → General Physics → Two-Dimensional Kinematics → Introduction To Two-Dimensional Kinematics	core → General Physics → Two-Dimensional Kinematics	3		0			0	0		False	False	False	False	0			
core → General Physics → Forces and Newton's Laws of Motion	Forces and Newton's Laws of Motion	core	2	Category	General Physics	Forces and Newton's Laws of Motion					core → General Physics → Forces and Newton's Laws of Motion	core → General Physics	2		0			0	0		False	False	False	False	0			
core → General Physics → Forces and Newton's Laws of Motion → AP Physics Course Preparation	AP Physics Course Preparation	core	3	Concept	General Physics	Forces and Newton's Laws of Motion	AP Physics Course Preparation				core → General Physics → Forces and Newton's Laws of Motion → AP Physics Course Preparation	core → General Physics → Forces and Newton's Laws of Motion	3		0			0	0		False	False	False	False	0			
core → General Physics → Forces and Newton's Laws of Motion → Learning Objectives	Learning Objectives	core	3	Concept	General Physics	Forces and Newton's Laws of Motion	Learning Objectives				core → General Physics → Forces and Newton's Laws of Motion → Learning Objectives	core → General Physics → Forces and Newton's Laws of Motion	3		0			0	0		False	False	False	False	0			
core → General Physics → Forces and Newton's Laws of Motion → Summary	Summary	core	3	Concept	General Physics	Forces and Newton's Laws of Motion	Summary				core → General Physics → Forces and Newton's Laws of Motion → Summary	core → General Physics → Forces and Newton's Laws of Motion	3		0			0	0		False	False	False	False	0			
core → General Physics → Forces and Newton's Laws of Motion → Conceptual Questions	Conceptual Questions	core	3	Concept	General Physics	Forces and Newton's Laws of Motion	Conceptual Questions				core → General Physics → Forces and Newton's Laws of Motion → Conceptual Questions	core → General Physics → Forces and Newton's Laws of Motion	3		0			0	0		False	False	False	False	0			
core → General Physics → Forces and Newton's Laws of Motion → Mass	Mass	core	3	Concept	General Physics	Forces and Newton's Laws of Motion	Mass				core → General Physics → Forces and Newton's Laws of Motion → Mass	core → General Physics → Forces and Newton's Laws of Motion	3		0			0	0		False	False	False	False	0			
core → General Physics → Forces and Newton's Laws of Motion → Units Of Force	Units Of Force	core	3	Concept	General Physics	Forces and Newton's Laws of Motion	Units Of Force				core → General Physics → Forces and Newton's Laws of Motion → Units Of Force	core → General Physics → Forces and Newton's Laws of Motion	3		0			0	0		False	False	False	False	0			
core → General Physics → Forces and Newton's Laws of Motion → Weight And The Gravitational Force	Weight And The Gravitational Force	core	3	Concept	General Physics	Forces and Newton's Laws of Motion	Weight And The Gravitational Force				core → General Physics → Forces and Newton's Laws of Motion → Weight And The Gravitational Force	core → General Physics → Forces and Newton's Laws of Motion	3		0			0	0		False	False	False	False	0			
core → General Physics → Forces and Newton's Laws of Motion → Problem Exercises	Problem Exercises	core	3	Concept	General Physics	Forces and Newton's Laws of Motion	Problem Exercises				core → General Physics → Forces and Newton's Laws of Motion → Problem Exercises	core → General Physics → Forces and Newton's Laws of Motion	3		0			0	0		False	False	False	False	0			
