Topic	Subtopic	Description	Objectives	Duration (hours)	Difficulty	Level	Core/Elective	MCAT Relevant	Pedagogical Order	Prerequisites
Classical Mechanics	Analytical Mechanics	Studying advanced topics in classical mechanics, including Hamiltonian dynamics, Lagrangian dynamics, and variational principles.	Understand the connection between Lagrangian and Hamiltonian mechanics; Apply variational principles to derive equations of motion; Solve complex problems in analytical mechanics	5	1	undergraduate	core	No	50	Lagrangian Mechanics; Hamiltonian Mechanics
Classical Mechanics	Applications of Newton's Laws	Applying Newton's laws to various physical situations such as free-body diagrams, dynamics of circular motion, and systems of connected objects.	Analyze forces using free-body diagrams; Understand the dynamics of circular motion; Solve problems involving systems of connected objects	3	1	high_school	core	No	50	Newton's Laws of Motion
Classical Mechanics	Celestial Mechanics	Exploring the motion of celestial bodies under gravitational forces, including planetary orbits and perturbations.	Analyze Kepler's laws of planetary motion; Understand perturbations in celestial mechanics; Calculate orbital elements and trajectories	5	1	undergraduate	core	No	50	Central Forces and Orbits; Gravitation; Newton's Laws of Motion
Classical Mechanics	Central Forces and Orbits	Investigating the motion of objects under central forces, including gravitational and electrostatic forces.	Understand central forces and their properties; Analyze orbits under central force fields; Calculate orbital parameters and trajectories	4	1	undergraduate	core	No	50	Celestial Mechanics; Newton's Laws of Motion
Classical Mechanics	Chaos Theory	Exploring chaotic behavior in dynamical systems, including sensitive dependence on initial conditions and strange attractors.	Define chaos and chaotic systems; Analyze the butterfly effect and sensitive dependence; Study strange attractors and fractal geometry	5	1	undergraduate	core	No	50	Introduction to Astrophysics; Classical Mechanics; Newton's Laws of Motion; Fluid Mechanics; Statistical Mechanics and Classical Dynamics
Classical Mechanics	Classical Mechanics in General Relativity	Exploring the principles of classical mechanics in the context of general relativity, including the equivalence principle and geodesic motion.	Understand the equivalence principle; Analyze geodesic motion in curved spacetime; Study the effects of gravity on classical systems	6	1	graduate	core	No	50	Classical Mechanics; Special Relativity
Classical Mechanics	Classical Mechanics in Special Relativity	Studying the principles of classical mechanics in the context of special relativity, including relativistic momentum and energy.	Understand the Lorentz transformations; Derive relativistic momentum and energy; Analyze relativistic collisions and dynamics	5	1	undergraduate	core	No	50	Special Relativity; Classical Mechanics
Classical Mechanics	Computational Mechanics	Applying numerical methods to solve problems in classical mechanics, including simulations of complex systems.	Implement numerical algorithms for solving differential equations; Simulate physical systems using computational tools; Analyze the accuracy and stability of numerical solutions	6	1	undergraduate	elective	No	50	Numerical Methods in Physics; Classical Mechanics; Fluid Dynamics
Classical Mechanics	Conservation of Energy	Studying the principle of conservation of mechanical energy and its applications in various physical systems.	Understand the concept of conservative forces; Apply the conservation of mechanical energy principle; Analyze energy transformations in different systems	3	1	high_school	core	No	50	Work and Energy
Classical Mechanics	Experimental Methods in Classical Mechanics	Exploring experimental techniques used to study classical mechanics phenomena, including data collection and analysis.	Understand experimental setup and data acquisition; Analyze experimental data to verify theoretical predictions; Apply error analysis techniques to experimental results	6	1	undergraduate	elective	No	50	Classical Mechanics in General Relativity; Classical Mechanics in Special Relativity
Classical Mechanics	Fluid Dynamics	Investigating the behavior of fluids in motion, including the Navier-Stokes equations, boundary layers, and turbulence.	Understand the Navier-Stokes equations; Analyze laminar and turbulent flow; Study boundary layers and fluid instabilities	5	1	undergraduate	core	No	50	Fluid Mechanics
Classical Mechanics	Fluid Mechanics	Exploring the behavior of fluids at rest and in motion, including pressure, buoyancy, and fluid flow.	Define pressure and calculate pressure in fluids; Understand Archimedes' principle and buoyant force; Analyze fluid flow and applications of Bernoulli's equation	4	1	high_school	core	No	50	Fluid Dynamics
Classical Mechanics	Gravitation	Studying the universal law of gravitation, gravitational field, and the motion of objects under the influence of gravity.	Understand the law of universal gravitation; Calculate gravitational force and field strength; Analyze orbits and satellite motion	4	1	high_school	core	No	50	Newton's Laws of Motion; Central Forces and Orbits; Celestial Mechanics
Classical Mechanics	Hamiltonian Mechanics	Studying classical mechanics using the Hamiltonian formalism, emphasizing generalized coordinates and momenta.	Define generalized coordinates and momenta; Formulate Hamilton's equations of motion; Solve problems using Hamiltonian mechanics	5	1	undergraduate	core	No	50	Classical Mechanics
Classical Mechanics	Lagrangian Mechanics	Exploring classical mechanics through the Lagrangian formalism, focusing on generalized coordinates and the principle of least action.	Define Lagrangian and generalized coordinates; Apply the principle of least action; Derive Lagrange's equations of motion	5	1	undergraduate	core	No	50	Classical Mechanics
Classical Mechanics	Linear Momentum and Collisions	Investigating the concepts of linear momentum, impulse, and collisions between objects.	Define linear momentum and impulse; Analyze collisions using the principle of conservation of momentum; Solve problems involving momentum and impulse	3	1	high_school	core	No	50	Newton's Laws of Motion
Classical Mechanics	Motion in One Dimension	Studying the motion of objects along a straight line, including position, velocity, and acceleration.	Define displacement, velocity, and acceleration in one dimension; Analyze motion using graphical representations; Apply kinematic equations to solve problems	3	1	high_school	core	No	50	Scalars and Vectors; Newton's Laws of Motion
Classical Mechanics	Motion in Two Dimensions	Exploring the motion of objects in two dimensions using vectors and vector components.	Analyze projectile motion; Understand circular motion; Solve problems involving motion in two dimensions	3	1	high_school	core	No	50	Motion in One Dimension
Classical Mechanics	Newton's Laws of Motion	Understanding the three laws that describe the relationship between the motion of an object and the forces acting on it.	State Newton's three laws of motion; Apply Newton's laws to analyze forces in equilibrium and motion; Solve problems involving friction, tension, and normal forces	3	1	high_school	core	No	50	Classical Mechanics
Classical Mechanics	Non-Inertial Reference Frames	Understanding the effects of acceleration in non-inertial reference frames and the fictitious forces that arise.	Define non-inertial reference frames; Analyze motion in accelerating frames; Understand the concept of fictitious forces	4	1	undergraduate	core	No	50	Newton's Laws of Motion; Motion in One Dimension; Motion in Two Dimensions; Classical Mechanics; Lagrangian Mechanics; Analytical Mechanics
Classical Mechanics	Oscillations and Simple Harmonic Motion	Exploring the behavior of systems undergoing oscillatory motion, including the concepts of amplitude, frequency, and energy.	Define simple harmonic motion; Analyze the motion of a mass-spring system; Calculate the period and frequency of oscillations	4	1	high_school	core	No	50	Motion in One Dimension; Motion in Two Dimensions; Periodic Motion; Work and Energy
Classical Mechanics	Periodic Motion	Studying the characteristics of periodic motion, including the concepts of amplitude, frequency, and phase.	Define periodic motion and its parameters; Analyze simple harmonic motion; Understand the relationship between circular motion and simple harmonic motion	4	1	undergraduate	core	No	50	Oscillations and Simple Harmonic Motion; Motion in One Dimension
Classical Mechanics	Quantum Mechanics as a Limit of Classical Mechanics	Studying the correspondence principle and the transition from classical mechanics to quantum mechanics in the limit of large quantum numbers.	Understand the correspondence principle; Analyze the classical limit of quantum mechanics; Study semiclassical approximations and Bohr's correspondence principle	6	1	graduate	core	No	50	Classical Mechanics; Quantum Mechanics; Special Relativity
Classical Mechanics	Rigid Body Dynamics	Exploring the motion of rigid bodies, including rotation about a fixed axis and the moment of inertia.	Define moment of inertia and angular momentum; Analyze rotational motion of rigid bodies; Calculate moments of inertia for simple geometries	4	1	undergraduate	core	No	50	Rotational Motion; Newton's Laws of Motion
Classical Mechanics	Rotational Motion	Understanding rotational kinematics and dynamics, including torque, angular momentum, and rotational equilibrium.	Define angular displacement, velocity, and acceleration; Analyze rotational motion using torque and angular momentum; Apply the laws of rotational motion to solve problems	4	1	high_school	core	No	50	Newton's Laws of Motion
Classical Mechanics	Scalars and Vectors	Understanding the difference between scalar and vector quantities, and their algebraic properties.	Differentiate between scalar and vector quantities; Perform vector addition and subtraction; Resolve vectors into components	2	1	high_school	core	No	50	Units and Dimensional Analysis
Classical Mechanics	Small Oscillations and Normal Modes	Investigating the behavior of systems near stable equilibrium points and the concept of normal modes of vibration.	Define small oscillations and equilibrium points; Analyze normal modes of vibration; Calculate frequencies and displacements for normal modes	5	1	undergraduate	core	No	50	Oscillations and Simple Harmonic Motion
Classical Mechanics	Statistical Mechanics and Classical Dynamics	Studying the connection between statistical mechanics and classical dynamics, including the ergodic hypothesis and phase space dynamics.	Understand the ergodic hypothesis and statistical ensembles; Analyze phase space dynamics and Liouville's theorem; Study the connection between microscopic and macroscopic behavior	6	1	graduate	core	No	50	Classical Mechanics; Statistical Mechanics
Classical Mechanics	Symmetry and Conservation Laws	Exploring the connection between symmetries of a system and the conservation laws that arise from Noether's theorem.	Understand Noether's theorem and its applications; Analyze symmetries and conservation laws in classical mechanics; Apply symmetry principles to derive equations of motion	6	1	graduate	core	No	50	Classical Mechanics; Quantum Mechanics
Classical Mechanics	Units and Dimensional Analysis	Introduction to units of measurement and the process of dimensional analysis to check the correctness of equations.	Define fundamental units of measurement in the SI system; Perform dimensional analysis to check the consistency of equations; Convert between different units of measurement	2	1	high_school	core	No	50	Classical Mechanics; Newton's Laws of Motion
Classical Mechanics	Work and Energy	Exploring the concepts of work, kinetic energy, potential energy, and the work-energy theorem.	Define work and calculate work done by a force; Understand kinetic and potential energy; Apply the work-energy theorem to solve problems	3	1	high_school	core	No	50	Newton's Laws of Motion
Computational Physics	Computational Astrophysics	Using computational methods to study astrophysical phenomena such as stellar evolution, galaxy formation, and cosmology.	Understand the principles of astrophysics; Learn to simulate astrophysical processes using computational methods; Explore the role of computational astrophysics in understanding the universe	4	4	undergraduate	elective	No	50	Introduction to Astrophysics
Computational Physics	Computational Biophysics	Using computational methods to study biological systems at the molecular and cellular levels, including protein folding, drug design, and molecular dynamics.	Understand the basics of biophysics; Learn to simulate biological processes using computational methods; Explore the role of computational biophysics in understanding living systems	4	4	undergraduate	elective	No	50	Biophysics; Molecular Dynamics Simulations; Protein Structure and Function
Computational Physics	Computational Electrodynamics	Application of computational methods to solve Maxwell's equations and study electromagnetic phenomena, including wave propagation, antennas, and scattering.	Understand the fundamentals of electromagnetism; Learn to simulate electromagnetic phenomena using computational methods; Explore applications of computational electrodynamics in telecommunications and remote sensing	4	4	undergraduate	core	No	50	Maxwell's Equations; Electromagnetic Field Theory; Electromagnetic Fields in Matter; Electromagnetic Waves; Faraday's Law of Electromagnetic Induction; Gauss's Law; Magnetostatics; Electric Field; Magnetic Field
Computational Physics	Computational Fluid Dynamics	Application of computational methods to study fluid flow phenomena, including turbulence, heat transfer, and aerodynamics.	Understand the basic principles of fluid dynamics; Learn to simulate fluid flow using computational methods; Explore applications of computational fluid dynamics in engineering and physics	4	4	undergraduate	core	No	50	Fluid Dynamics; Computational Mechanics
Computational Physics	Computational Quantum Mechanics	Using computational methods to solve the Schrödinger equation and study quantum systems, including atoms, molecules, and solids.	Understand the basics of quantum mechanics; Learn to apply computational techniques to solve quantum problems; Explore the role of computational quantum mechanics in materials science and chemistry	4	4	undergraduate	core	No	50	Quantum Mechanics
Computational Physics	Computational Solid State Physics	Applying computational methods to study the electronic structure, properties, and behavior of solids and materials.	Understand the basics of solid state physics; Learn to simulate electronic properties of materials using computational methods; Explore applications of computational solid state physics in materials science and nanotechnology	4	4	undergraduate	elective	No	50	Solid State Physics; Computational Physics
Computational Physics	High-Performance Computing in Physics	Optimizing algorithms and codes for parallel computing architectures to solve large-scale physics problems efficiently.	Understand the principles of parallel computing; Learn to implement parallel algorithms for physics simulations; Explore the use of high-performance computing in scientific research	4	4	undergraduate	elective	No	50	Computational Physics; Numerical Methods in Physics
Computational Physics	Introduction to Computational Physics	An overview of the field of computational physics, including the use of numerical methods and algorithms to solve physics problems.	Understand the importance of computational physics in modern scientific research; Learn about different numerical methods used in computational physics; Gain familiarity with programming languages commonly used in computational physics	2	4	undergraduate	core	No	50	
Computational Physics	Machine Learning in Physics	Application of machine learning techniques to analyze data, model physical systems, and optimize experimental designs in physics.	Understand the basics of machine learning algorithms; Learn to apply machine learning to physics problems; Explore the use of machine learning in data-driven scientific discovery	4	4	undergraduate	elective	No	50	Introduction to Computational Physics
Computational Physics	Numerical Methods in Physics	Study of numerical techniques such as finite difference methods, Monte Carlo simulations, and numerical integration used in computational physics.	Understand the principles behind numerical methods; Learn to apply numerical methods to solve differential equations; Explore the advantages and limitations of different numerical techniques	3	4	undergraduate	core	No	50	Computational Physics
Condensed Matter Physics	Band Theory of Solids	Exploring the electronic band structure of solids.	Understand the concept of energy bands in solids.; Explain the origin of band gaps in materials.; Analyze the electrical conductivity of materials based on band theory.	4	5	undergraduate	core	No	50	Solid State Physics; Quantum Mechanics
Condensed Matter Physics	Crystal Structure	Understanding the arrangement of atoms in a crystal lattice.	Identify different types of crystal structures.; Describe the basic concepts of crystallography.; Explain the relationship between crystal structure and material properties.	2	5	undergraduate	core	No	50	
Condensed Matter Physics	Density Functional Theory	Using quantum mechanics to describe the electronic structure of materials.	Understand the basic principles of density functional theory.; Explain the Kohn-Sham equations and exchange-correlation functionals.; Apply density functional theory to calculate material properties.	5	5	undergraduate	elective	No	50	Quantum Mechanics
Condensed Matter Physics	Fermi Surface	Understanding the surface in momentum space that separates filled and empty electronic states.	Define Fermi wave vector and Fermi energy.; Explain the significance of Fermi surface in determining material properties.; Analyze the Fermi surface of different materials.	3	5	undergraduate	elective	No	50	Band Theory of Solids; Quantum Mechanics; Solid State Physics
Condensed Matter Physics	Fractional Quantum Hall Effect	Studying the quantization of Hall resistance in a two-dimensional electron system at fractional values.	Define the fractional quantum Hall effect and its topological aspects.; Explain the role of electron-electron interactions in fractional quantum Hall systems.; Analyze the emergence of anyons in fractional quantum Hall states.	4	5	graduate	elective	No	50	Quantum Mechanics; Topological Insulators; Quantum Hall Effect
Condensed Matter Physics	Lattice Vibrations	Studying the collective oscillations of atoms in a crystal lattice.	Define phonons and their significance in condensed matter physics.; Explain the concept of dispersion relation in lattice vibrations.; Analyze the effects of lattice vibrations on thermal properties of materials.	3	5	undergraduate	core	No	50	Crystal Structure; Periodic Motion; Oscillations and Simple Harmonic Motion
Condensed Matter Physics	Low-Dimensional Systems	Studying the properties of materials confined to two-dimensional or one-dimensional structures.	Define quantum confinement and its effects on electronic properties.; Explain the behavior of electrons in quantum wells, wires, and dots.; Analyze the applications of low-dimensional systems in nanotechnology.	4	5	undergraduate	elective	No	50	Quantum Mechanics; Solid State Physics
Condensed Matter Physics	Magnetism in Condensed Matter	Studying the magnetic properties of materials and their applications.	Define magnetic moments and magnetic ordering in materials.; Explain the types of magnetic materials and their behavior.; Analyze the role of magnetism in technological applications.	3	5	undergraduate	core	No	50	Magnetic Materials
Condensed Matter Physics	Non-Equilibrium Dynamics in Condensed Matter	Investigating the behavior of materials far from thermal equilibrium.	Define non-equilibrium dynamics and its relevance in condensed matter physics.; Explain the concept of Floquet engineering in driving non-equilibrium states.; Analyze the experimental techniques used to study non-equilibrium dynamics.	5	5	graduate	elective	No	50	Solid State Physics; Statistical Mechanics
Condensed Matter Physics	Quantum Hall Effect	Studying the quantization of Hall resistance in a two-dimensional electron system.	Define the Hall resistance quantization and its significance.; Explain the role of magnetic fields in the Quantum Hall Effect.; Analyze the topological aspects of the Quantum Hall Effect.	4	5	undergraduate	elective	No	50	Fractional Quantum Hall Effect
Condensed Matter Physics	Quantum Monte Carlo Methods	Using stochastic sampling to solve the Schrödinger equation for many-body systems.	Understand the basic principles of quantum Monte Carlo methods.; Explain the variational and projector quantum Monte Carlo algorithms.; Apply quantum Monte Carlo methods to study quantum systems.	5	5	graduate	elective	No	50	Quantum Mechanics
Condensed Matter Physics	Quantum Spin Liquids	Studying exotic magnetic states where quantum fluctuations prevent magnetic order.	Define quantum spin liquids and their characteristic properties.; Explain the role of frustration in the emergence of quantum spin liquids.; Analyze the experimental signatures of quantum spin liquids.	4	5	graduate	elective	No	50	Quantum Mechanics
Condensed Matter Physics	Soft Condensed Matter	Investigating the physical properties of materials such as liquids, polymers, and colloids.	Define the characteristics of soft condensed matter.; Explain the behavior of polymers and colloids in solution.; Analyze the applications of soft condensed matter in biophysics and materials science.	3	5	undergraduate	elective	No	50	Fluid Mechanics
Condensed Matter Physics	Spintronics	Exploring the use of electron spin for information processing and storage.	Define spin polarization and spin transport in materials.; Explain the concept of spin valves and spintronic devices.; Analyze the applications of spintronics in technology.	4	5	undergraduate	elective	No	50	Solid State Physics; Magnetism in Condensed Matter
Condensed Matter Physics	Strongly Correlated Systems	Investigating materials where electron-electron interactions dominate.	Define electron correlation and its effects on material properties.; Explain the Mott insulator transition and high-temperature superconductivity.; Analyze the theoretical models used to study strongly correlated systems.	5	5	undergraduate	elective	No	50	Quantum Mechanics; Solid State Physics; Superconductivity
Condensed Matter Physics	Superconductivity	Investigating the phenomenon of zero electrical resistance in certain materials.	Define critical temperature and critical magnetic field in superconductors.; Explain the Meissner effect and flux quantization in superconductors.; Analyze the different types of superconductors and their applications.	4	5	undergraduate	core	No	50	Electric Current and Circuits; Magnetic Field; Resistance and Resistivity
Condensed Matter Physics	Topological Insulators	Investigating materials that are insulating in the bulk but conductive on the surface.	Define topological insulators and their unique electronic properties.; Explain the concept of topological surface states.; Analyze the applications of topological insulators in spintronics and quantum computing.	4	5	undergraduate	elective	No	50	Band Theory of Solids; Quantum Mechanics; Solid State Physics
Condensed Matter Physics	Topological Superconductors	Investigating superconducting materials with nontrivial topology in their electronic structure.	Define topological superconductors and their unique properties.; Explain the concept of Majorana fermions in topological superconductors.; Analyze the potential applications of topological superconductors in quantum computing.	4	5	graduate	elective	No	50	Superconductivity; Topological Insulators; Quantum Mechanics
Electromagnetism	AC Circuits	Alternating current (AC) circuits involve time-varying voltages and currents, often in the form of sinusoidal waveforms.	Analyze simple AC circuits with resistors, capacitors, and inductors.; Calculate impedance and phase relationships in AC circuits.; Understand resonance in RLC circuits.	3	2	undergraduate	core	No	50	Electric Charge; Electric Current; Electric Field; Electric Potential; Resistance and Resistivity; Capacitance; Inductance; DC Circuits
Electromagnetism	Antennas and Radiation	Antennas are devices designed to transmit or receive electromagnetic waves efficiently.	Describe the basic principles of antenna operation.; Analyze the radiation pattern and gain of antennas.; Understand the concept of polarization in antennas.	3	2	undergraduate	elective	No	50	Electric Charge; Electric Field; Electromagnetic Fields in Matter
Electromagnetism	Capacitance	Capacitance is the ability of a system to store charge per unit voltage.	Define capacitance and its SI unit.; Calculate the capacitance of simple capacitor configurations.; Understand the energy stored in a capacitor.	2	2	undergraduate	core	No	50	Electric Charge; Electric Field
Electromagnetism	Coulomb's Law	Coulomb's law describes the electrostatic force between two charged objects.	State Coulomb's law and its mathematical expression.; Calculate the electrostatic force between point charges.; Understand the inverse square law nature of the electrostatic force.	2	2	high_school	core	No	50	Electric Charge; Electric Field
Electromagnetism	DC Circuits	Direct current (DC) circuits consist of resistors, capacitors, and inductors connected in various configurations.	Analyze series and parallel resistor circuits using Ohm's law and Kirchhoff's laws.; Calculate the equivalent resistance of complex resistor networks.; Understand the time constant in RC circuits.	3	2	high_school	core	No	50	Electric Charge; Electric Current; Resistance and Resistivity
Electromagnetism	Electric Charge	Electric charge is a fundamental property of matter that can be positive or negative.	Define electric charge and its SI unit.; Differentiate between positive and negative charges.; Explain the conservation of electric charge.	1	2	high_school	core	No	50	Units and Dimensional Analysis; Electric Field
Electromagnetism	Electric Current	Electric current is the flow of electric charge through a conductor.	Define electric current and its SI unit.; Understand the concept of drift velocity.; Apply Ohm's law to calculate current, voltage, and resistance in a circuit.	2	2	high_school	core	No	50	Electric Charge; Electric Field
Electromagnetism	Electric Field	The electric field is a vector field that describes the influence of an electric charge on other charges in the space around it.	Define electric field and its SI unit.; Calculate the electric field intensity due to point charges.; Explain the concept of electric field lines.	2	2	high_school	core	No	50	Electric Charge; Coulomb's Law
Electromagnetism	Electric Potential	Electric potential is the amount of work needed to move a unit positive charge from a reference point to a specific point in an electric field.	Define electric potential and its SI unit.; Calculate the electric potential due to point charges.; Understand the relationship between electric potential and electric field.	2	2	undergraduate	core	No	50	Electric Charge; Electric Field
Electromagnetism	Electrodynamics	Electrodynamics is the study of the interaction between electric and magnetic fields, including the generation of electromagnetic waves.	Apply Maxwell's equations to analyze electromagnetic phenomena.; Understand the Poynting vector and electromagnetic energy flow.; Analyze the behavior of charged particles in electromagnetic fields.	4	2	graduate	core	No	50	Electric Charge; Electric Field; Magnetic Field; Maxwell's Equations
