Pedagogical_Order	Topic	Subtopic	Description	Chapter	Section	Educational_Level	Depth_Level	Domain	Difficulty	Duration_Hours	Is_Core	MCAT_Relevant	Prerequisites	Learning_Objectives	Assessment_Methods	Source_Books
11	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 1 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 1	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics-bundle_root_0_mod_4	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics-bundle
13	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 1 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 1	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics_root_0_mod_4	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics
13	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 1 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 1	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics_root_0_mod_4	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics
15	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 2 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 2	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics-bundle_root_0_mod_0	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics-bundle
15	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 2 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 2	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics-bundle_root_0_mod_0	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics-bundle
17	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 2 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 2	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics_root_0_mod_0	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics
17	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 2 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 2	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics_root_0_mod_0	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics
19	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 3 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 3	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics-bundle_root_0_mod_1	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics-bundle
19	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 3 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 3	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics-bundle_root_0_mod_1	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics-bundle
21	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 3 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 3	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics_root_0_mod_1	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics
21	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 3 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 3	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics_root_0_mod_1	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics
23	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 4 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 4	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics-bundle_root_0_mod_2	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics-bundle
23	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 4 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 4	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics-bundle_root_0_mod_2	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics-bundle
25	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 4 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 4	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics_root_0_mod_2	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics
25	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 4 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 4	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics_root_0_mod_2	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics
27	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 5 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 5	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics-bundle_root_0_mod_3	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics-bundle
27	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 5 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 5	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics-bundle_root_0_mod_3	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics-bundle
29	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 5 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 5	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics_root_0_mod_3	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics
29	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 5 within introduction: the nature of science and physics	Introduction: The Nature of Science and Physics	Section 5	undergraduate	3	units_measurement	2	2	Core	No	osbooks-college-physics_root_0_mod_3	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-college-physics
30	Other Worlds: An Introduction to the Solar System (Intermediate)	Other Worlds: An Introduction to the Solar System (Intermediate)	Comprehensive study of other worlds: an introduction to the solar system concepts	Other Worlds: An Introduction to the Solar System		undergraduate	2	units_measurement	2	5	Core	No		Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-astronomy
31	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 1 within other worlds: an introduction to the solar system	Other Worlds: An Introduction to the Solar System	Section 1	undergraduate	3	units_measurement	2	2	Core	No	osbooks-astronomy_root_6	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-astronomy
32	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 2 within other worlds: an introduction to the solar system	Other Worlds: An Introduction to the Solar System	Section 2	undergraduate	3	units_measurement	2	2	Core	No	osbooks-astronomy_root_6_mod_0	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-astronomy
33	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 3 within other worlds: an introduction to the solar system	Other Worlds: An Introduction to the Solar System	Section 3	undergraduate	3	units_measurement	2	2	Core	No	osbooks-astronomy_root_6_mod_1	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-astronomy
34	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 4 within other worlds: an introduction to the solar system	Other Worlds: An Introduction to the Solar System	Section 4	undergraduate	3	units_measurement	2	2	Core	No	osbooks-astronomy_root_6_mod_2	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-astronomy
35	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 5 within other worlds: an introduction to the solar system	Other Worlds: An Introduction to the Solar System	Section 5	undergraduate	3	units_measurement	2	2	Core	No	osbooks-astronomy_root_6_mod_3	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-astronomy
38	Units and Measurement (Intermediate)	Units and Measurement (Intermediate)	Comprehensive study of units and measurement concepts	Units and Measurement		undergraduate	2	units_measurement	2	6	Core	No		Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
38	Units and Measurement (Intermediate)	Units and Measurement (Intermediate)	Comprehensive study of units and measurement concepts	Units and Measurement		undergraduate	2	units_measurement	2	6	Core	No		Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
38	Units and Measurement (Intermediate)	Units and Measurement (Intermediate)	Comprehensive study of units and measurement concepts	Units and Measurement		undergraduate	2	units_measurement	2	6	Core	No		Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
41	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 1 within units and measurement	Units and Measurement	Section 1	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
41	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 1 within units and measurement	Units and Measurement	Section 1	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
41	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 1 within units and measurement	Units and Measurement	Section 1	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
44	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 2 within units and measurement	Units and Measurement	Section 2	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_0	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
44	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 2 within units and measurement	Units and Measurement	Section 2	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_0	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
44	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 2 within units and measurement	Units and Measurement	Section 2	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_0	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
47	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 3 within units and measurement	Units and Measurement	Section 3	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_1	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
47	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 3 within units and measurement	Units and Measurement	Section 3	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_1	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
47	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 3 within units and measurement	Units and Measurement	Section 3	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_1	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
50	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 4 within units and measurement	Units and Measurement	Section 4	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_2	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
50	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 4 within units and measurement	Units and Measurement	Section 4	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_2	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
50	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 4 within units and measurement	Units and Measurement	Section 4	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_2	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
53	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 5 within units and measurement	Units and Measurement	Section 5	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_3	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
53	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 5 within units and measurement	Units and Measurement	Section 5	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_3	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
53	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 5 within units and measurement	Units and Measurement	Section 5	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_3	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
56	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 6 within units and measurement	Units and Measurement	Section 6	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_4	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
56	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 6 within units and measurement	Units and Measurement	Section 6	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_4	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
56	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 6 within units and measurement	Units and Measurement	Section 6	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_4	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
59	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 7 within units and measurement	Units and Measurement	Section 7	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_5	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
59	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 7 within units and measurement	Units and Measurement	Section 7	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_5	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
59	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 7 within units and measurement	Units and Measurement	Section 7	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_5	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
61	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 8 within units and measurement	Units and Measurement	Section 8	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_6	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
61	Units Measurement Concepts	Units Measurement Concepts	Detailed study of section 8 within units and measurement	Units and Measurement	Section 8	undergraduate	3	units_measurement	2	2	Core	No	osbooks-university-physics-bundle_root_1_mod_6	Apply appropriate units and unit conversions; Perform dimensional analysis; Use significant figures correctly	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
64	Vectors (Intermediate)	Vectors (Intermediate)	Comprehensive study of vectors concepts	Vectors		undergraduate	2	vectors	2	5	Core	No		Add and subtract vectors graphically and analytically; Resolve vectors into components; Apply vector analysis to physical problems	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
64	Vectors (Intermediate)	Vectors (Intermediate)	Comprehensive study of vectors concepts	Vectors		undergraduate	2	vectors	2	5	Core	No		Add and subtract vectors graphically and analytically; Resolve vectors into components; Apply vector analysis to physical problems	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
64	Vectors (Intermediate)	Vectors (Intermediate)	Comprehensive study of vectors concepts	Vectors		undergraduate	2	vectors	2	5	Core	No		Add and subtract vectors graphically and analytically; Resolve vectors into components; Apply vector analysis to physical problems	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
67	Vectors Concepts	Vectors Concepts	Detailed study of section 1 within vectors	Vectors	Section 1	undergraduate	3	vectors	2	2	Core	No	osbooks-university-physics-bundle_root_2	Add and subtract vectors graphically and analytically; Resolve vectors into components; Apply vector analysis to physical problems	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
67	Vectors Concepts	Vectors Concepts	Detailed study of section 1 within vectors	Vectors	Section 1	undergraduate	3	vectors	2	2	Core	No	osbooks-university-physics-bundle_root_2	Add and subtract vectors graphically and analytically; Resolve vectors into components; Apply vector analysis to physical problems	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
67	Vectors Concepts	Vectors Concepts	Detailed study of section 1 within vectors	Vectors	Section 1	undergraduate	3	vectors	2	2	Core	No	osbooks-university-physics-bundle_root_2	Add and subtract vectors graphically and analytically; Resolve vectors into components; Apply vector analysis to physical problems	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
70	Vectors Concepts	Vectors Concepts	Detailed study of section 2 within vectors	Vectors	Section 2	undergraduate	3	vectors	2	2	Core	No	osbooks-university-physics-bundle_root_2_mod_0	Add and subtract vectors graphically and analytically; Resolve vectors into components; Apply vector analysis to physical problems	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
70	Vectors Concepts	Vectors Concepts	Detailed study of section 2 within vectors	Vectors	Section 2	undergraduate	3	vectors	2	2	Core	No	osbooks-university-physics-bundle_root_2_mod_0	Add and subtract vectors graphically and analytically; Resolve vectors into components; Apply vector analysis to physical problems	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
70	Vectors Concepts	Vectors Concepts	Detailed study of section 2 within vectors	Vectors	Section 2	undergraduate	3	vectors	2	2	Core	No	osbooks-university-physics-bundle_root_2_mod_0	Add and subtract vectors graphically and analytically; Resolve vectors into components; Apply vector analysis to physical problems	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
73	Vectors Concepts	Vectors Concepts	Detailed study of section 3 within vectors	Vectors	Section 3	undergraduate	3	vectors	2	2	Core	No	osbooks-university-physics-bundle_root_2_mod_1	Add and subtract vectors graphically and analytically; Resolve vectors into components; Apply vector analysis to physical problems	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
73	Vectors Concepts	Vectors Concepts	Detailed study of section 3 within vectors	Vectors	Section 3	undergraduate	3	vectors	2	2	Core	No	osbooks-university-physics-bundle_root_2_mod_1	Add and subtract vectors graphically and analytically; Resolve vectors into components; Apply vector analysis to physical problems	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
73	Vectors Concepts	Vectors Concepts	Detailed study of section 3 within vectors	Vectors	Section 3	undergraduate	3	vectors	2	2	Core	No	osbooks-university-physics-bundle_root_2_mod_1	Add and subtract vectors graphically and analytically; Resolve vectors into components; Apply vector analysis to physical problems	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
76	Vectors Concepts	Vectors Concepts	Detailed study of section 4 within vectors	Vectors	Section 4	undergraduate	3	vectors	2	2	Core	No	osbooks-university-physics-bundle_root_2_mod_2	Add and subtract vectors graphically and analytically; Resolve vectors into components; Apply vector analysis to physical problems	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
76	Vectors Concepts	Vectors Concepts	Detailed study of section 4 within vectors	Vectors	Section 4	undergraduate	3	vectors	2	2	Core	No	osbooks-university-physics-bundle_root_2_mod_2	Add and subtract vectors graphically and analytically; Resolve vectors into components; Apply vector analysis to physical problems	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
76	Vectors Concepts	Vectors Concepts	Detailed study of section 4 within vectors	Vectors	Section 4	undergraduate	3	vectors	2	2	Core	No	osbooks-university-physics-bundle_root_2_mod_2	Add and subtract vectors graphically and analytically; Resolve vectors into components; Apply vector analysis to physical problems	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
79	Vectors Concepts	Vectors Concepts	Detailed study of section 5 within vectors	Vectors	Section 5	undergraduate	3	vectors	2	2	Core	No	osbooks-university-physics-bundle_root_2_mod_3	Add and subtract vectors graphically and analytically; Resolve vectors into components; Apply vector analysis to physical problems	Conceptual understanding; Problem solving; Laboratory work; Research projects	osbooks-university-physics-bundle
